POSTCODE,LGA_CODE_2024,LGA_NAME_2024,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
2020,10500,Bayside (NSW),1.0000000,Acceptable,Good,0
2021,18500,Woollahra,0.6626099,Acceptable,Good,0
2021,17200,Sydney,0.3373901,Good,Good,0
2022,18050,Waverley,1.0000000,Good,Good,0
2023,18500,Woollahra,1.0000000,Acceptable,Good,0
2024,18050,Waverley,1.0000000,Good,Good,0
2025,18500,Woollahra,1.0000000,Acceptable,Good,0
2026,18050,Waverley,1.0000000,Good,Good,0
2027,18500,Woollahra,1.0000000,Acceptable,Good,0
2028,18500,Woollahra,1.0000000,Acceptable,Good,0
2029,18500,Woollahra,0.5893094,Acceptable,Good,0
2029,18050,Waverley,0.4106906,Good,Good,0
2030,18500,Woollahra,0.5122337,Acceptable,Good,0
2030,18050,Waverley,0.4877663,Good,Good,0
2031,16550,Randwick,1.0000000,Good,Good,0
2032,10500,Bayside (NSW),0.0790509,Acceptable,Good,0
2032,16550,Randwick,0.9209491,Good,Good,0
2033,16550,Randwick,0.9989907,Good,Good,0
2033,17200,Sydney,0.0010093,Good,Good,1
2034,16550,Randwick,1.0000000,Good,Good,0
2035,10500,Bayside (NSW),0.1120952,Acceptable,Good,0
2035,16550,Randwick,0.8879048,Good,Good,0
2036,10500,Bayside (NSW),0.2890389,Acceptable,Good,0
2036,16550,Randwick,0.7109611,Good,Good,0
2037,17200,Sydney,1.0000000,Good,Good,0
2038,14170,Inner West,0.9975713,Good,Good,0
2038,17200,Sydney,0.0024287,Good,Good,1
2039,14170,Inner West,1.0000000,Good,Good,0
2040,14170,Inner West,1.0000000,Good,Good,0
2041,14170,Inner West,1.0000000,Good,Good,0
2042,14170,Inner West,0.6352601,Good,Good,0
2042,17200,Sydney,0.3647399,Good,Good,0
2043,17200,Sydney,1.0000000,Good,Good,0
2044,14170,Inner West,1.0000000,Good,Good,0
2045,14170,Inner West,1.0000000,Good,Good,0
2046,11520,Canada Bay,1.0000000,Good,Good,0
2047,11520,Canada Bay,1.0000000,Good,Good,0
2048,14170,Inner West,1.0000000,Good,Good,0
2049,14170,Inner West,1.0000000,Good,Good,0
2050,14170,Inner West,0.3621225,Good,Good,0
2050,17200,Sydney,0.6378775,Good,Good,0
2060,15950,North Sydney,1.0000000,Acceptable,Good,0
2061,15950,North Sydney,1.0000000,Acceptable,Good,0
2062,15950,North Sydney,1.0000000,Acceptable,Good,0
2063,18250,Willoughby,1.0000000,Acceptable,Good,0
2064,18250,Willoughby,1.0000000,Acceptable,Good,0
2065,14700,Lane Cove,0.2560880,Acceptable,Good,0
2065,15950,North Sydney,0.4914166,Acceptable,Good,0
2065,18250,Willoughby,0.2524954,Acceptable,Good,0
2066,14700,Lane Cove,0.9256308,Acceptable,Good,0
2066,18250,Willoughby,0.0743692,Acceptable,Good,0
2067,18250,Willoughby,0.9876130,Acceptable,Good,0
2067,16700,Ryde,0.0123870,Good,Good,0
2068,18250,Willoughby,1.0000000,Acceptable,Good,0
2069,18250,Willoughby,0.3428795,Acceptable,Good,0
2069,14500,Ku-ring-gai,0.6571205,Good,Good,0
2070,14500,Ku-ring-gai,1.0000000,Good,Good,0
2071,14500,Ku-ring-gai,1.0000000,Good,Good,0
2072,14500,Ku-ring-gai,1.0000000,Good,Good,0
2073,14500,Ku-ring-gai,1.0000000,Good,Good,0
2074,14500,Ku-ring-gai,1.0000000,Good,Good,0
2075,14500,Ku-ring-gai,1.0000000,Good,Good,0
2076,14000,Hornsby,0.3972742,Acceptable,Good,0
2076,14500,Ku-ring-gai,0.6027258,Good,Good,0
2077,14000,Hornsby,1.0000000,Acceptable,Good,0
2079,14000,Hornsby,1.0000000,Acceptable,Good,0
2080,14000,Hornsby,1.0000000,Acceptable,Good,0
2081,14000,Hornsby,1.0000000,Acceptable,Good,0
2082,14000,Hornsby,1.0000000,Acceptable,Good,0
2083,14000,Hornsby,0.6572077,Acceptable,Good,0
2083,11650,Central Coast (NSW),0.3427923,Good,Good,0
2084,15990,Northern Beaches,1.0000000,Good,Good,0
2085,15990,Northern Beaches,1.0000000,Good,Good,0
2086,15990,Northern Beaches,1.0000000,Good,Good,0
2087,15990,Northern Beaches,1.0000000,Good,Good,0
2088,15350,Mosman,1.0000000,Good,Good,0
2089,15950,North Sydney,1.0000000,Acceptable,Good,0
2090,15950,North Sydney,1.0000000,Acceptable,Good,0
2092,15990,Northern Beaches,1.0000000,Good,Good,0
2093,15990,Northern Beaches,1.0000000,Good,Good,0
2094,15990,Northern Beaches,1.0000000,Good,Good,0
2095,15990,Northern Beaches,1.0000000,Good,Good,0
2096,15990,Northern Beaches,1.0000000,Good,Good,0
2097,15990,Northern Beaches,1.0000000,Good,Good,0
2099,15990,Northern Beaches,1.0000000,Good,Good,0
2100,15990,Northern Beaches,1.0000000,Good,Good,0
2101,15990,Northern Beaches,1.0000000,Good,Good,0
2102,15990,Northern Beaches,1.0000000,Good,Good,0
2103,15990,Northern Beaches,1.0000000,Good,Good,0
2104,15990,Northern Beaches,1.0000000,Good,Good,0
2105,15990,Northern Beaches,1.0000000,Good,Good,0
2106,15990,Northern Beaches,1.0000000,Good,Good,0
2107,15990,Northern Beaches,1.0000000,Good,Good,0
2108,15990,Northern Beaches,1.0000000,Good,Good,0
2110,14100,Hunters Hill,1.0000000,Acceptable,Good,0
2111,14100,Hunters Hill,0.2404512,Acceptable,Good,0
2111,16700,Ryde,0.7595488,Good,Good,0
2112,16700,Ryde,1.0000000,Good,Good,0
2113,16700,Ryde,1.0000000,Good,Good,0
2114,16260,Parramatta,0.0194773,Acceptable,Good,0
2114,16700,Ryde,0.9805227,Good,Good,0
2115,16260,Parramatta,1.0000000,Acceptable,Good,0
2116,16260,Parramatta,1.0000000,Acceptable,Good,0
2117,16260,Parramatta,1.0000000,Acceptable,Good,0
2118,16260,Parramatta,1.0000000,Acceptable,Good,0
2119,14000,Hornsby,0.7893666,Acceptable,Good,0
2119,16260,Parramatta,0.2106334,Acceptable,Good,0
2120,14000,Hornsby,1.0000000,Acceptable,Good,0
2121,14000,Hornsby,0.1358933,Acceptable,Good,0
2121,16260,Parramatta,0.8641067,Acceptable,Good,0
2122,16260,Parramatta,0.1474025,Acceptable,Good,0
2122,16700,Ryde,0.8525975,Good,Good,0
2125,14000,Hornsby,0.2466146,Acceptable,Good,0
2125,17420,The Hills,0.7533854,Acceptable,Good,0
2126,14000,Hornsby,1.0000000,Acceptable,Good,0
2127,16260,Parramatta,1.0000000,Acceptable,Good,0
2128,16260,Parramatta,1.0000000,Acceptable,Good,0
2130,14170,Inner West,1.0000000,Good,Good,0
2131,14170,Inner West,1.0000000,Good,Good,0
2132,14170,Inner West,0.3955606,Good,Good,0
2132,11300,Burwood,0.6044394,Poor,Good,0
2133,11570,Canterbury-Bankstown,0.3811192,Good,Good,0
2133,14170,Inner West,0.0773871,Good,Good,0
2133,11300,Burwood,0.5414936,Poor,Good,0
2134,11300,Burwood,1.0000000,Poor,Good,0
2135,17100,Strathfield,0.6966256,Acceptable,Good,0
2135,11520,Canada Bay,0.0949063,Good,Good,0
2135,11300,Burwood,0.2084681,Poor,Good,0
2136,17100,Strathfield,0.5544467,Acceptable,Good,0
2136,11300,Burwood,0.4455533,Poor,Good,0
2137,11520,Canada Bay,1.0000000,Good,Good,0
2138,11520,Canada Bay,1.0000000,Good,Good,0
2140,17100,Strathfield,1.0000000,Acceptable,Good,0
2141,12380,Cumberland,0.9112025,Acceptable,Good,0
2141,16260,Parramatta,0.0887975,Acceptable,Good,0
2142,12380,Cumberland,0.6398788,Acceptable,Good,0
2142,16260,Parramatta,0.3601212,Acceptable,Good,0
2143,12380,Cumberland,0.4403489,Acceptable,Good,0
2143,11570,Canterbury-Bankstown,0.5596511,Good,Good,0
2144,12380,Cumberland,1.0000000,Acceptable,Good,0
2145,12380,Cumberland,0.7896758,Acceptable,Good,0
2145,16260,Parramatta,0.2103242,Acceptable,Good,0
2146,12380,Cumberland,0.1736675,Acceptable,Good,0
2146,16260,Parramatta,0.5683673,Acceptable,Good,0
2146,10750,Blacktown,0.2579652,Good,Good,0
2147,10750,Blacktown,1.0000000,Good,Good,0
2148,12380,Cumberland,0.0000012,Acceptable,Good,1
2148,10750,Blacktown,0.9999988,Good,Good,0
2150,16260,Parramatta,1.0000000,Acceptable,Good,0
2151,16260,Parramatta,0.9725640,Acceptable,Good,0
2151,17420,The Hills,0.0274360,Acceptable,Good,0
2152,16260,Parramatta,1.0000000,Acceptable,Good,0
2153,16260,Parramatta,0.2081176,Acceptable,Good,0
2153,17420,The Hills,0.7918824,Acceptable,Good,0
2154,14000,Hornsby,0.1414613,Acceptable,Good,0
2154,17420,The Hills,0.8585387,Acceptable,Good,0
2155,17420,The Hills,0.8224330,Acceptable,Good,0
2155,10750,Blacktown,0.1775670,Good,Good,0
2156,14000,Hornsby,0.0267402,Acceptable,Good,0
2156,17420,The Hills,0.9732598,Acceptable,Good,0
2157,14000,Hornsby,0.4093564,Acceptable,Good,0
2157,17420,The Hills,0.5906436,Acceptable,Good,0
2158,14000,Hornsby,0.6324543,Acceptable,Good,0
2158,17420,The Hills,0.3675457,Acceptable,Good,0
2159,14000,Hornsby,1.0000000,Acceptable,Good,0
2160,12380,Cumberland,1.0000000,Acceptable,Good,0
2161,12380,Cumberland,0.8686246,Acceptable,Good,0
2161,12850,Fairfield,0.1313754,Good,Good,0
2162,12380,Cumberland,0.0403424,Acceptable,Good,0
2162,11570,Canterbury-Bankstown,0.9596576,Good,Good,0
2163,11570,Canterbury-Bankstown,0.4628027,Good,Good,0
2163,12850,Fairfield,0.5371973,Good,Good,0
2164,12380,Cumberland,0.0806939,Acceptable,Good,0
2164,12850,Fairfield,0.9193061,Good,Good,0
2165,12380,Cumberland,0.0034619,Acceptable,Good,1
2165,12850,Fairfield,0.9965381,Good,Good,0
2166,12850,Fairfield,1.0000000,Good,Good,0
2167,11500,Campbelltown (NSW),1.0000000,Good,Good,0
2168,14900,Liverpool,1.0000000,Good,Good,0
2170,12850,Fairfield,0.0869260,Good,Good,0
2170,14900,Liverpool,0.9130740,Good,Good,0
2171,14900,Liverpool,1.0000000,Good,Good,0
2172,14900,Liverpool,0.7923707,Good,Good,0
2172,17150,Sutherland,0.2076293,Good,Good,0
2173,11500,Campbelltown (NSW),0.0003442,Good,Good,1
2173,14900,Liverpool,0.9996558,Good,Good,0
2174,14900,Liverpool,1.0000000,Good,Good,0
2175,12850,Fairfield,1.0000000,Good,Good,0
2176,12850,Fairfield,1.0000000,Good,Good,0
2177,12850,Fairfield,1.0000000,Good,Good,0
2178,12850,Fairfield,0.1957301,Good,Good,0
2178,14900,Liverpool,0.3889734,Good,Good,0
2178,16350,Penrith,0.4152964,Good,Good,0
2179,11450,Camden,0.4971021,Acceptable,Good,0
2179,14900,Liverpool,0.5028979,Good,Good,0
2190,17100,Strathfield,0.0599121,Acceptable,Good,0
2190,11570,Canterbury-Bankstown,0.9400879,Good,Good,0
2191,11570,Canterbury-Bankstown,1.0000000,Good,Good,0
2192,11570,Canterbury-Bankstown,1.0000000,Good,Good,0
2193,11570,Canterbury-Bankstown,0.9672075,Good,Good,0
2193,14170,Inner West,0.0327925,Good,Good,0
2194,11570,Canterbury-Bankstown,1.0000000,Good,Good,0
2195,11570,Canterbury-Bankstown,1.0000000,Good,Good,0
2196,11570,Canterbury-Bankstown,1.0000000,Good,Good,0
2197,11570,Canterbury-Bankstown,1.0000000,Good,Good,0
2198,11570,Canterbury-Bankstown,1.0000000,Good,Good,0
2199,11570,Canterbury-Bankstown,1.0000000,Good,Good,0
2200,11570,Canterbury-Bankstown,1.0000000,Good,Good,0
2203,14170,Inner West,1.0000000,Good,Good,0
2204,14170,Inner West,1.0000000,Good,Good,0
2205,10500,Bayside (NSW),1.0000000,Acceptable,Good,0
2206,11570,Canterbury-Bankstown,1.0000000,Good,Good,0
2207,10500,Bayside (NSW),1.0000000,Acceptable,Good,0
2208,10500,Bayside (NSW),0.2227975,Acceptable,Good,0
2208,12930,Georges River,0.2836154,Acceptable,Good,0
2208,11570,Canterbury-Bankstown,0.4935870,Good,Good,0
2209,12930,Georges River,0.6728904,Acceptable,Good,0
2209,11570,Canterbury-Bankstown,0.3271096,Good,Good,0
2210,12930,Georges River,0.7929162,Acceptable,Good,0
2210,11570,Canterbury-Bankstown,0.2070838,Good,Good,0
2211,11570,Canterbury-Bankstown,1.0000000,Good,Good,0
2212,11570,Canterbury-Bankstown,1.0000000,Good,Good,0
2213,11570,Canterbury-Bankstown,1.0000000,Good,Good,0
2214,11570,Canterbury-Bankstown,1.0000000,Good,Good,0
2216,10500,Bayside (NSW),1.0000000,Acceptable,Good,0
2217,10500,Bayside (NSW),0.5880698,Acceptable,Good,0
2217,12930,Georges River,0.4119302,Acceptable,Good,0
2218,10500,Bayside (NSW),0.2437914,Acceptable,Good,0
2218,12930,Georges River,0.7562086,Acceptable,Good,0
2219,10500,Bayside (NSW),0.7984524,Acceptable,Good,0
2219,12930,Georges River,0.2015476,Acceptable,Good,0
2220,12930,Georges River,1.0000000,Acceptable,Good,0
2221,12930,Georges River,1.0000000,Acceptable,Good,0
2222,12930,Georges River,1.0000000,Acceptable,Good,0
2223,12930,Georges River,1.0000000,Acceptable,Good,0
2224,17150,Sutherland,1.0000000,Good,Good,0
2225,17150,Sutherland,1.0000000,Good,Good,0
2226,17150,Sutherland,1.0000000,Good,Good,0
2227,17150,Sutherland,1.0000000,Good,Good,0
2228,17150,Sutherland,1.0000000,Good,Good,0
2229,17150,Sutherland,1.0000000,Good,Good,0
2230,17150,Sutherland,1.0000000,Good,Good,0
2231,17150,Sutherland,1.0000000,Good,Good,0
2232,17150,Sutherland,1.0000000,Good,Good,0
2233,17150,Sutherland,1.0000000,Good,Good,0
2234,17150,Sutherland,1.0000000,Good,Good,0
2250,11720,Cessnock,0.0023354,Acceptable,Good,1
2250,11650,Central Coast (NSW),0.9976646,Good,Good,0
2251,11650,Central Coast (NSW),1.0000000,Good,Good,0
2256,11650,Central Coast (NSW),1.0000000,Good,Good,0
2257,11650,Central Coast (NSW),1.0000000,Good,Good,0
2258,11650,Central Coast (NSW),1.0000000,Good,Good,0
2259,11650,Central Coast (NSW),0.9384165,Good,Good,0
2259,14650,Lake Macquarie,0.0615835,Good,Good,0
2260,11650,Central Coast (NSW),1.0000000,Good,Good,0
2261,11650,Central Coast (NSW),1.0000000,Good,Good,0
2262,11650,Central Coast (NSW),1.0000000,Good,Good,0
2263,11650,Central Coast (NSW),1.0000000,Good,Good,0
2264,14650,Lake Macquarie,1.0000000,Good,Good,0
2265,14650,Lake Macquarie,1.0000000,Good,Good,0
2267,14650,Lake Macquarie,1.0000000,Good,Good,0
2278,14650,Lake Macquarie,1.0000000,Good,Good,0
2280,14650,Lake Macquarie,1.0000000,Good,Good,0
2281,14650,Lake Macquarie,1.0000000,Good,Good,0
2282,14650,Lake Macquarie,1.0000000,Good,Good,0
2283,14650,Lake Macquarie,1.0000000,Good,Good,0
2284,14650,Lake Macquarie,1.0000000,Good,Good,0
2285,14650,Lake Macquarie,0.9999565,Good,Good,0
2285,15900,Newcastle,0.0000435,Good,Good,1
2286,14650,Lake Macquarie,1.0000000,Good,Good,0
2287,14650,Lake Macquarie,0.0312286,Good,Good,0
2287,15900,Newcastle,0.9687714,Good,Good,0
2289,14650,Lake Macquarie,0.2503280,Good,Good,0
2289,15900,Newcastle,0.7496720,Good,Good,0
2290,14650,Lake Macquarie,1.0000000,Good,Good,0
2291,15900,Newcastle,1.0000000,Good,Good,0
2292,15900,Newcastle,1.0000000,Good,Good,0
2293,15900,Newcastle,1.0000000,Good,Good,0
2294,15900,Newcastle,1.0000000,Good,Good,0
2295,16400,Port Stephens,0.4996654,Acceptable,Good,0
2295,15900,Newcastle,0.5003346,Good,Good,0
2296,15900,Newcastle,1.0000000,Good,Good,0
2297,15900,Newcastle,1.0000000,Good,Good,0
2298,15900,Newcastle,1.0000000,Good,Good,0
2299,15900,Newcastle,1.0000000,Good,Good,0
2300,15900,Newcastle,1.0000000,Good,Good,0
2302,15900,Newcastle,1.0000000,Good,Good,0
2303,15900,Newcastle,1.0000000,Good,Good,0
2304,15900,Newcastle,1.0000000,Good,Good,0
2305,14650,Lake Macquarie,0.1265220,Good,Good,0
2305,15900,Newcastle,0.8734780,Good,Good,0
2306,14650,Lake Macquarie,1.0000000,Good,Good,0
2307,15900,Newcastle,1.0000000,Good,Good,0
2308,15900,Newcastle,1.0000000,Good,Good,0
2311,12700,Dungog,1.0000000,Acceptable,Good,0
2312,15240,Mid-Coast,1.0000000,Good,Good,0
2315,16400,Port Stephens,1.0000000,Acceptable,Good,0
2316,16400,Port Stephens,1.0000000,Acceptable,Good,0
2317,16400,Port Stephens,1.0000000,Acceptable,Good,0
2318,16400,Port Stephens,1.0000000,Acceptable,Good,0
2319,16400,Port Stephens,1.0000000,Acceptable,Good,0
2320,11720,Cessnock,0.0296511,Acceptable,Good,0
2320,12700,Dungog,0.0004351,Acceptable,Good,1
2320,15050,Maitland,0.9301575,Acceptable,Good,0
2320,16400,Port Stephens,0.0366098,Acceptable,Good,0
2320,17000,Singleton,0.0031465,Good,Good,1
2321,11720,Cessnock,0.2587617,Acceptable,Good,0
2321,12700,Dungog,0.1305424,Acceptable,Good,0
2321,15050,Maitland,0.5265798,Acceptable,Good,0
2321,16400,Port Stephens,0.0841161,Acceptable,Good,0
2322,11720,Cessnock,0.0111154,Acceptable,Good,0
2322,15050,Maitland,0.7500109,Acceptable,Good,0
2322,16400,Port Stephens,0.0110342,Acceptable,Good,0
2322,15900,Newcastle,0.2278395,Good,Good,0
2323,11720,Cessnock,0.0626821,Acceptable,Good,0
2323,15050,Maitland,0.9327794,Acceptable,Good,0
2323,14650,Lake Macquarie,0.0045385,Good,Good,1
2324,15050,Maitland,0.0139898,Acceptable,Good,0
2324,16400,Port Stephens,0.7420024,Acceptable,Good,0
2324,15240,Mid-Coast,0.2440078,Good,Good,0
2325,11720,Cessnock,0.9999027,Acceptable,Good,0
2325,17000,Singleton,0.0000973,Good,Good,1
2326,11720,Cessnock,0.9822298,Acceptable,Good,0
2326,15050,Maitland,0.0177702,Acceptable,Good,0
2327,11720,Cessnock,1.0000000,Acceptable,Good,0
2328,15650,Muswellbrook,1.0000000,Good,Good,0
2329,17620,Upper Hunter,0.9811008,Good,Good,0
2329,18020,Warrumbungle,0.0188992,Good,Good,0
2330,13800,Hawkesbury,0.0000005,Acceptable,Good,1
2330,15650,Muswellbrook,0.0096076,Good,Good,1
2330,17000,Singleton,0.9903919,Good,Good,0
2331,17000,Singleton,1.0000000,Good,Good,0
2333,15650,Muswellbrook,0.9867173,Good,Good,0
2333,17000,Singleton,0.0000007,Good,Good,1
2333,17620,Upper Hunter,0.0132820,Good,Good,0
2334,11720,Cessnock,0.9815927,Acceptable,Good,0
2334,15050,Maitland,0.0184073,Acceptable,Good,0
2335,11720,Cessnock,0.6601995,Acceptable,Good,0
2335,15050,Maitland,0.0143759,Acceptable,Good,0
2335,17000,Singleton,0.3254246,Good,Good,0
2336,15650,Muswellbrook,0.0100212,Good,Good,0
2336,17620,Upper Hunter,0.9899788,Good,Good,0
2337,15240,Mid-Coast,0.0000012,Good,Good,1
2337,17620,Upper Hunter,0.9999988,Good,Good,0
2338,14920,Liverpool Plains,0.0335861,Good,Good,0
2338,17310,Tamworth,0.0264304,Good,Good,0
2338,17620,Upper Hunter,0.9399834,Good,Good,0
2339,14920,Liverpool Plains,1.0000000,Good,Good,0
2340,13550,Gunnedah,0.0062032,Good,Good,1
2340,14920,Liverpool Plains,0.0000002,Good,Good,1
2340,17310,Tamworth,0.9937964,Good,Good,0
2340,17620,Upper Hunter,0.0000002,Good,Good,1
2341,13550,Gunnedah,0.0037236,Good,Good,1
2341,14920,Liverpool Plains,0.9962764,Good,Good,0
2342,13550,Gunnedah,0.2258527,Good,Good,0
2342,14920,Liverpool Plains,0.7693801,Good,Good,0
2342,17310,Tamworth,0.0047672,Good,Good,1
2343,13550,Gunnedah,0.0069908,Good,Good,1
2343,14920,Liverpool Plains,0.9930092,Good,Good,0
2344,17310,Tamworth,1.0000000,Good,Good,0
2345,17310,Tamworth,1.0000000,Good,Good,0
2346,17310,Tamworth,1.0000000,Good,Good,0
2347,13660,Gwydir,0.1644930,Acceptable,Good,0
2347,15750,Narrabri,0.0002723,Good,Good,1
2347,17310,Tamworth,0.8352348,Good,Good,0
2350,10180,Armidale,0.9485893,Good,Good,0
2350,17650,Uralla,0.0514107,Poor,Good,0
2352,17310,Tamworth,1.0000000,Good,Good,0
2353,17310,Tamworth,1.0000000,Good,Good,0
2354,17850,Walcha,0.8664906,Acceptable,Good,0
2354,17310,Tamworth,0.0448928,Good,Good,0
2354,17620,Upper Hunter,0.0000029,Good,Good,1
2354,17650,Uralla,0.0886137,Poor,Good,0
2355,17310,Tamworth,1.0000000,Good,Good,0
2356,15750,Narrabri,1.0000000,Good,Good,0
2357,18020,Warrumbungle,1.0000000,Good,Good,0
2358,17650,Uralla,1.0000000,Poor,Good,0
2359,13660,Gwydir,0.1744217,Acceptable,Good,0
2359,14220,Inverell,0.0365746,Good,Good,0
2359,17310,Tamworth,0.0168881,Good,Good,0
2359,17650,Uralla,0.7721156,Poor,Good,0
2360,13660,Gwydir,0.0020592,Acceptable,Good,1
2360,14220,Inverell,0.9979408,Good,Good,0
2361,14220,Inverell,1.0000000,Good,Good,0
2365,10180,Armidale,0.8984668,Good,Good,0
2365,13010,Glen Innes Severn,0.0803373,Good,Good,0
2365,14220,Inverell,0.0211959,Good,Good,0
2369,14220,Inverell,1.0000000,Good,Good,0
2370,10180,Armidale,0.0012864,Good,Good,1
2370,11730,Clarence Valley,0.0023144,Good,Good,1
2370,13010,Glen Innes Severn,0.9829854,Good,Good,0
2370,14220,Inverell,0.0134139,Good,Good,0
2371,17400,Tenterfield,0.1672532,Acceptable,Good,0
2371,13010,Glen Innes Severn,0.8073428,Good,Good,0
2371,14220,Inverell,0.0254040,Good,Good,0
2372,17400,Tenterfield,1.0000000,Acceptable,Good,0
2379,13550,Gunnedah,0.5802476,Good,Good,0
2379,18020,Warrumbungle,0.4197524,Good,Good,0
2380,13550,Gunnedah,1.0000000,Good,Good,0
2381,13550,Gunnedah,0.8286190,Good,Good,0
2381,14920,Liverpool Plains,0.0928482,Good,Good,0
2381,18020,Warrumbungle,0.0785328,Good,Good,0
2382,13550,Gunnedah,0.0742195,Good,Good,0
2382,15750,Narrabri,0.9257805,Good,Good,0
2386,15750,Narrabri,0.2417240,Good,Good,0
2386,17900,Walgett,0.7582760,Good,Good,0
2387,15300,Moree Plains,0.0971056,Good,Good,0
2387,15750,Narrabri,0.1311933,Good,Good,0
2387,17900,Walgett,0.7717011,Good,Good,0
2388,15750,Narrabri,0.9854271,Good,Good,0
2388,17900,Walgett,0.0145729,Good,Good,0
2390,13660,Gwydir,0.0048200,Acceptable,Good,1
2390,15300,Moree Plains,0.0050574,Good,Good,1
2390,15750,Narrabri,0.9901226,Good,Good,0
2395,18020,Warrumbungle,1.0000000,Good,Good,0
2396,18020,Warrumbungle,1.0000000,Good,Good,0
