CED_CODE_2024,CED_NAME_2024,CED_CODE_2025,CED_NAME_2025,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
139,Robertson,139,Robertson,1,Good,Good,0
140,Shortland,140,Shortland,1,Good,Good,0
141,Sydney,141,Sydney,1,Good,Good,0
142,Warringah,142,Warringah,1,Good,Good,0
143,Watson,143,Watson,1,Good,Good,0
144,Wentworth,144,Wentworth,1,Good,Good,0
145,Werriwa,145,Werriwa,1,Good,Good,0
146,Whitlam,146,Whitlam,1,Good,Good,0
194,No usual address (NSW),194,No usual address (NSW),1,Good,Good,0
197,Migratory - Offshore - Shipping (NSW),197,Migratory - Offshore - Shipping (NSW),1,Good,Good,0
201,Aston,201,Aston,1,Good,Good,0
202,Ballarat,202,Ballarat,1,Good,Good,0
203,Bendigo,203,Bendigo,1,Good,Good,0
204,Bruce,204,Bruce,1,Good,Good,0
205,Calwell,205,Calwell,1,Good,Good,0
206,Casey,206,Casey,1,Good,Good,0
207,Chisholm,207,Chisholm,1,Good,Good,0
208,Cooper,208,Cooper,1,Good,Good,0
209,Corangamite,209,Corangamite,1,Good,Good,0
210,Corio,210,Corio,1,Good,Good,0
211,Deakin,211,Deakin,1,Good,Good,0
212,Dunkley,212,Dunkley,1,Good,Good,0
213,Flinders,213,Flinders,1,Good,Good,0
214,Fraser,214,Fraser,1,Good,Good,0
215,Gellibrand,215,Gellibrand,1,Good,Good,0
216,Gippsland,216,Gippsland,1,Good,Good,0
217,Goldstein,217,Goldstein,1,Good,Good,0
218,Gorton,218,Gorton,1,Good,Good,0
219,Hawke,219,Hawke,1,Good,Good,0
220,Holt,220,Holt,1,Good,Good,0
221,Hotham,221,Hotham,1,Good,Good,0
222,Indi,222,Indi,1,Good,Good,0
223,Isaacs,223,Isaacs,1,Good,Good,0
224,Jagajaga,224,Jagajaga,1,Good,Good,0
225,Kooyong,225,Kooyong,1,Good,Good,0
226,La Trobe,226,La Trobe,1,Good,Good,0
227,Lalor,227,Lalor,1,Good,Good,0
228,Macnamara,228,Macnamara,1,Good,Good,0
229,Mallee,229,Mallee,1,Good,Good,0
230,Maribyrnong,230,Maribyrnong,1,Good,Good,0
231,McEwen,231,McEwen,1,Good,Good,0
232,Melbourne,232,Melbourne,1,Good,Good,0
233,Menzies,233,Menzies,1,Good,Good,0
234,Monash,234,Monash,1,Good,Good,0
235,Nicholls,235,Nicholls,1,Good,Good,0
236,Scullin,236,Scullin,1,Good,Good,0
237,Wannon,237,Wannon,1,Good,Good,0
238,Wills,238,Wills,1,Good,Good,0
294,No usual address (Vic.),294,No usual address (Vic.),1,Good,Good,0
297,Migratory - Offshore - Shipping (Vic.),297,Migratory - Offshore - Shipping (Vic.),1,Good,Good,0
301,Blair,301,Blair,1,Good,Good,0
302,Bonner,302,Bonner,1,Good,Good,0
303,Bowman,303,Bowman,1,Good,Good,0
304,Brisbane,304,Brisbane,1,Good,Good,0
305,Capricornia,305,Capricornia,1,Good,Good,0
306,Dawson,306,Dawson,1,Good,Good,0
307,Dickson,307,Dickson,1,Good,Good,0
308,Fadden,308,Fadden,1,Good,Good,0
309,Fairfax,309,Fairfax,1,Good,Good,0
310,Fisher,310,Fisher,1,Good,Good,0
311,Flynn,311,Flynn,1,Good,Good,0
312,Forde,312,Forde,1,Good,Good,0
313,Griffith,313,Griffith,1,Good,Good,0
314,Groom,314,Groom,1,Good,Good,0
315,Herbert,315,Herbert,1,Good,Good,0
316,Hinkler,316,Hinkler,1,Good,Good,0
317,Kennedy,317,Kennedy,1,Good,Good,0
318,Leichhardt,318,Leichhardt,1,Good,Good,0
319,Lilley,319,Lilley,1,Good,Good,0
320,Longman,320,Longman,1,Good,Good,0
321,Maranoa,321,Maranoa,1,Good,Good,0
322,McPherson,322,McPherson,1,Good,Good,0
323,Moncrieff,323,Moncrieff,1,Good,Good,0
324,Moreton,324,Moreton,1,Good,Good,0
325,Oxley,325,Oxley,1,Good,Good,0
326,Petrie,326,Petrie,1,Good,Good,0
327,Rankin,327,Rankin,1,Good,Good,0
328,Ryan,328,Ryan,1,Good,Good,0
329,Wide Bay,329,Wide Bay,1,Good,Good,0
330,Wright,330,Wright,1,Good,Good,0
394,No usual address (Qld),394,No usual address (Qld),1,Good,Good,0
397,Migratory - Offshore - Shipping (Qld),397,Migratory - Offshore - Shipping (Qld),1,Good,Good,0
401,Adelaide,401,Adelaide,1,Good,Good,0
402,Barker,402,Barker,1,Good,Good,0
403,Boothby,403,Boothby,1,Good,Good,0
404,Grey,404,Grey,1,Good,Good,0
405,Hindmarsh,405,Hindmarsh,1,Good,Good,0
406,Kingston,406,Kingston,1,Good,Good,0
407,Makin,407,Makin,1,Good,Good,0
408,Mayo,408,Mayo,1,Good,Good,0
409,Spence,409,Spence,1,Good,Good,0
410,Sturt,410,Sturt,1,Good,Good,0
494,No usual address (SA),494,No usual address (SA),1,Good,Good,0
497,Migratory - Offshore - Shipping (SA),497,Migratory - Offshore - Shipping (SA),1,Good,Good,0
501,Brand,501,Brand,1,Good,Good,0
502,Bullwinkel,502,Bullwinkel,1,Good,Good,0
503,Burt,503,Burt,1,Good,Good,0
504,Canning,504,Canning,1,Good,Good,0
505,Cowan,505,Cowan,1,Good,Good,0
506,Curtin,506,Curtin,1,Good,Good,0
507,Durack,507,Durack,1,Good,Good,0
508,Forrest,508,Forrest,1,Good,Good,0
509,Fremantle,509,Fremantle,1,Good,Good,0
510,Hasluck,510,Hasluck,1,Good,Good,0
511,Moore,511,Moore,1,Good,Good,0
512,O'Connor,512,O'Connor,1,Good,Good,0
513,Pearce,513,Pearce,1,Good,Good,0
514,Perth,514,Perth,1,Good,Good,0
515,Swan,515,Swan,1,Good,Good,0
516,Tangney,516,Tangney,1,Good,Good,0
594,No usual address (WA),594,No usual address (WA),1,Good,Good,0
597,Migratory - Offshore - Shipping (WA),597,Migratory - Offshore - Shipping (WA),1,Good,Good,0
601,Bass,601,Bass,1,Good,Good,0
602,Braddon,602,Braddon,1,Good,Good,0
603,Clark,603,Clark,1,Good,Good,0
604,Franklin,604,Franklin,1,Good,Good,0
605,Lyons,605,Lyons,1,Good,Good,0
694,No usual address (Tas.),694,No usual address (Tas.),1,Good,Good,0
697,Migratory - Offshore - Shipping (Tas.),697,Migratory - Offshore - Shipping (Tas.),1,Good,Good,0
701,Lingiari,701,Lingiari,0.930394,Good,Good,0
701,Lingiari,702,Solomon,0.069606,Good,Good,0
702,Solomon,702,Solomon,1,Good,Good,0
794,No usual address (NT),794,No usual address (NT),1,Good,Good,0
797,Migratory - Offshore - Shipping (NT),797,Migratory - Offshore - Shipping (NT),1,Good,Good,0
801,Bean,801,Bean,1,Good,Good,0
802,Canberra,802,Canberra,1,Good,Good,0
803,Fenner,803,Fenner,1,Good,Good,0
894,No usual address (ACT),894,No usual address (ACT),1,Good,Good,0
897,Migratory - Offshore - Shipping (ACT),897,Migratory - Offshore - Shipping (ACT),1,Good,Good,0
994,No usual address (OT),994,No usual address (OT),1,Good,Good,0
997,Migratory - Offshore - Shipping (OT),997,Migratory - Offshore - Shipping (OT),1,Good,Good,0
ZZZ,Outside Australia,ZZZ,Outside Australia,1,Good,Good,0
