CED_CODE_2021,CED_NAME_2021,CED_CODE_2024,CED_NAME_2024,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
133,Page,132,Page,1,Good,Acceptable,0
134,Parkes,130,New England,0.0181299,Good,Acceptable,0
134,Parkes,133,Parkes,0.9818701,Acceptable,Acceptable,0
135,Parramatta,105,Blaxland,0.2165168,Poor,Acceptable,0
135,Parramatta,134,Parramatta,0.7834832,Poor,Acceptable,0
136,Paterson,121,Hunter,0.0890835,Acceptable,Acceptable,0
136,Paterson,135,Paterson,0.9109165,Good,Acceptable,0
137,Reid,136,Reid,1,Good,Acceptable,0
138,Richmond,137,Richmond,1,Good,Acceptable,0
139,Riverina,133,Parkes,0.1814285,Acceptable,Acceptable,0
139,Riverina,138,Riverina,0.8185715,Poor,Acceptable,0
140,Robertson,139,Robertson,1,Good,Acceptable,0
141,Shortland,140,Shortland,1,Good,Acceptable,0
142,Sydney,141,Sydney,0.8998528,Acceptable,Acceptable,0
142,Sydney,144,Wentworth,0.1001472,Acceptable,Acceptable,0
143,Warringah,126,Mackellar,0.1414177,Acceptable,Acceptable,0
143,Warringah,142,Warringah,0.8585823,Poor,Acceptable,0
144,Watson,101,Banks,0.0693208,Acceptable,Acceptable,0
144,Watson,102,Barton,0.0771854,Poor,Acceptable,0
144,Watson,105,Blaxland,0.0320124,Poor,Acceptable,0
144,Watson,117,Grayndler,0.1842316,Poor,Acceptable,0
144,Watson,143,Watson,0.6372499,Poor,Acceptable,0
145,Wentworth,144,Wentworth,1,Acceptable,Acceptable,0
146,Werriwa,119,Hughes,0.1329672,Poor,Acceptable,0
146,Werriwa,120,Hume,0.0063581,Poor,Acceptable,1
146,Werriwa,125,Macarthur,0.0248486,Poor,Acceptable,0
146,Werriwa,145,Werriwa,0.8358261,Acceptable,Acceptable,0
147,Whitlam,111,Cunningham,0.0973164,Good,Acceptable,0
147,Whitlam,146,Whitlam,0.9026836,Acceptable,Acceptable,0
194,No usual address (NSW),194,No usual address (NSW),1,Good,Acceptable,0
197,Migratory - Offshore - Shipping (NSW),197,Migratory - Offshore - Shipping (NSW),1,Good,Acceptable,0
201,Aston,201,Aston,1,Good,Acceptable,0
202,Ballarat,202,Ballarat,0.9977658,Good,Acceptable,0
202,Ballarat,210,Corio,0.0022342,Good,Acceptable,1
203,Bendigo,203,Bendigo,1,Good,Acceptable,0
204,Bruce,204,Bruce,0.9597317,Acceptable,Acceptable,0
204,Bruce,223,Isaacs,0.0402683,Poor,Acceptable,0
205,Calwell,205,Calwell,0.9499499,Good,Acceptable,0
205,Calwell,231,McEwen,0.0294212,Acceptable,Acceptable,0
205,Calwell,236,Scullin,0.0206289,Acceptable,Acceptable,0
206,Casey,206,Casey,1,Good,Acceptable,0
207,Chisholm,207,Chisholm,0.6965836,Poor,Acceptable,0
207,Chisholm,211,Deakin,0.0122042,Acceptable,Acceptable,0
207,Chisholm,221,Hotham,0.1200184,Poor,Acceptable,0
207,Chisholm,233,Menzies,0.1711938,Poor,Acceptable,0
208,Cooper,208,Cooper,1,Good,Acceptable,0
209,Corangamite,209,Corangamite,0.9158666,Good,Acceptable,0
209,Corangamite,210,Corio,0.0507999,Good,Acceptable,0
209,Corangamite,237,Wannon,0.0333334,Good,Acceptable,0
210,Corio,210,Corio,1,Good,Acceptable,0
211,Deakin,201,Aston,0.0874077,Good,Acceptable,0
211,Deakin,211,Deakin,0.9125923,Acceptable,Acceptable,0
212,Dunkley,212,Dunkley,0.9144453,Acceptable,Acceptable,0
212,Dunkley,213,Flinders,0.0855547,Good,Acceptable,0
213,Flinders,213,Flinders,1,Good,Acceptable,0
214,Fraser,214,Fraser,1,Good,Acceptable,0
215,Gellibrand,214,Fraser,0.0678093,Good,Acceptable,0
215,Gellibrand,215,Gellibrand,0.9321907,Acceptable,Acceptable,0
216,Gippsland,216,Gippsland,1,Good,Acceptable,0
217,Goldstein,217,Goldstein,1,Good,Acceptable,0
218,Gorton,218,Gorton,0.9992637,Good,Acceptable,0
218,Gorton,219,Hawke,0.0007363,Good,Acceptable,1
219,Hawke,219,Hawke,1,Good,Acceptable,0
220,Higgins,207,Chisholm,0.3336584,Poor,Acceptable,0
220,Higgins,221,Hotham,0.1933359,Poor,Acceptable,0
220,Higgins,225,Kooyong,0.2532655,Poor,Acceptable,0
220,Higgins,228,Macnamara,0.0434178,Good,Acceptable,0
220,Higgins,232,Melbourne,0.1763225,Poor,Acceptable,0
221,Holt,204,Bruce,0.0680652,Acceptable,Acceptable,0
221,Holt,220,Holt,0.9319348,Good,Acceptable,0
222,Hotham,217,Goldstein,0.0232792,Good,Acceptable,0
222,Hotham,221,Hotham,0.7366863,Poor,Acceptable,0
222,Hotham,223,Isaacs,0.2400346,Poor,Acceptable,0
223,Indi,222,Indi,1,Good,Acceptable,0
224,Isaacs,212,Dunkley,0.1549787,Acceptable,Acceptable,0
224,Isaacs,217,Goldstein,0.0723157,Good,Acceptable,0
224,Isaacs,223,Isaacs,0.7727056,Poor,Acceptable,0
225,Jagajaga,224,Jagajaga,1,Good,Acceptable,0
226,Kooyong,207,Chisholm,0.0622471,Poor,Acceptable,0
226,Kooyong,225,Kooyong,0.8166338,Poor,Acceptable,0
226,Kooyong,233,Menzies,0.1211192,Poor,Acceptable,0
227,La Trobe,204,Bruce,0.0613009,Acceptable,Acceptable,0
227,La Trobe,226,La Trobe,0.9386991,Good,Acceptable,0
228,Lalor,210,Corio,0.0037471,Good,Acceptable,1
228,Lalor,215,Gellibrand,0.1033654,Acceptable,Acceptable,0
228,Lalor,219,Hawke,6.48e-05,Good,Acceptable,1
228,Lalor,227,Lalor,0.8928227,Acceptable,Acceptable,0
229,Macnamara,228,Macnamara,0.9627083,Good,Acceptable,0
229,Macnamara,232,Melbourne,0.0372917,Poor,Acceptable,0
230,Mallee,229,Mallee,1,Good,Acceptable,0
231,Maribyrnong,219,Hawke,0.0009023,Good,Acceptable,1
231,Maribyrnong,230,Maribyrnong,0.9990976,Good,Acceptable,0
231,Maribyrnong,238,Wills,1e-07,Acceptable,Acceptable,1
232,McEwen,206,Casey,0.0120878,Good,Acceptable,0
232,McEwen,231,McEwen,0.8943203,Acceptable,Acceptable,0
232,McEwen,235,Nicholls,0.0643203,Good,Acceptable,0
232,McEwen,236,Scullin,0.0292716,Acceptable,Acceptable,0
233,Melbourne,208,Cooper,0.0331473,Good,Acceptable,0
233,Melbourne,232,Melbourne,0.8382931,Poor,Acceptable,0
233,Melbourne,238,Wills,0.1285596,Acceptable,Acceptable,0
234,Menzies,206,Casey,0.0181983,Good,Acceptable,0
234,Menzies,211,Deakin,0.1696565,Acceptable,Acceptable,0
234,Menzies,224,Jagajaga,0.0175443,Good,Acceptable,0
234,Menzies,233,Menzies,0.7946009,Poor,Acceptable,0
235,Monash,234,Monash,1,Good,Acceptable,0
236,Nicholls,203,Bendigo,0.0290304,Good,Acceptable,0
236,Nicholls,235,Nicholls,0.9709696,Good,Acceptable,0
237,Scullin,224,Jagajaga,0.0180058,Good,Acceptable,0
237,Scullin,231,McEwen,0.038045,Acceptable,Acceptable,0
237,Scullin,236,Scullin,0.9439492,Acceptable,Acceptable,0
238,Wannon,237,Wannon,1,Good,Acceptable,0
239,Wills,230,Maribyrnong,0.0923724,Good,Acceptable,0
239,Wills,238,Wills,0.9076276,Acceptable,Acceptable,0
294,No usual address (Vic.),294,No usual address (Vic.),1,Good,Acceptable,0
297,Migratory - Offshore - Shipping (Vic.),297,Migratory - Offshore - Shipping (Vic.),1,Good,Acceptable,0
301,Blair,301,Blair,1,Good,Acceptable,0
302,Bonner,302,Bonner,1,Good,Acceptable,0
303,Bowman,303,Bowman,1,Good,Acceptable,0
304,Brisbane,304,Brisbane,1,Good,Acceptable,0
305,Capricornia,305,Capricornia,1,Good,Acceptable,0
306,Dawson,306,Dawson,1,Good,Acceptable,0
307,Dickson,307,Dickson,1,Good,Acceptable,0
308,Fadden,308,Fadden,1,Good,Acceptable,0
309,Fairfax,309,Fairfax,1,Good,Acceptable,0
310,Fisher,310,Fisher,1,Good,Acceptable,0
311,Flynn,311,Flynn,1,Good,Acceptable,0
312,Forde,312,Forde,1,Good,Acceptable,0
313,Griffith,313,Griffith,1,Good,Acceptable,0
314,Groom,314,Groom,1,Good,Acceptable,0
315,Herbert,315,Herbert,1,Good,Acceptable,0
316,Hinkler,316,Hinkler,1,Good,Acceptable,0
317,Kennedy,317,Kennedy,1,Good,Acceptable,0
318,Leichhardt,318,Leichhardt,1,Good,Acceptable,0
319,Lilley,319,Lilley,1,Good,Acceptable,0
320,Longman,320,Longman,1,Good,Acceptable,0
321,Maranoa,321,Maranoa,1,Good,Acceptable,0
322,McPherson,322,McPherson,1,Good,Acceptable,0
323,Moncrieff,323,Moncrieff,1,Good,Acceptable,0
324,Moreton,324,Moreton,1,Good,Acceptable,0
325,Oxley,325,Oxley,1,Good,Acceptable,0
326,Petrie,326,Petrie,1,Good,Acceptable,0
327,Rankin,327,Rankin,1,Good,Acceptable,0
328,Ryan,328,Ryan,1,Good,Acceptable,0
329,Wide Bay,329,Wide Bay,1,Good,Acceptable,0
330,Wright,330,Wright,1,Good,Acceptable,0
394,No usual address (Qld),394,No usual address (Qld),1,Good,Acceptable,0
397,Migratory - Offshore - Shipping (Qld),397,Migratory - Offshore - Shipping (Qld),1,Good,Acceptable,0
401,Adelaide,401,Adelaide,1,Good,Acceptable,0
402,Barker,402,Barker,1,Good,Acceptable,0
403,Boothby,403,Boothby,1,Good,Acceptable,0
404,Grey,404,Grey,1,Good,Acceptable,0
405,Hindmarsh,405,Hindmarsh,1,Good,Acceptable,0
406,Kingston,406,Kingston,1,Good,Acceptable,0
407,Makin,407,Makin,1,Good,Acceptable,0
408,Mayo,408,Mayo,1,Good,Acceptable,0
409,Spence,409,Spence,1,Good,Acceptable,0
410,Sturt,410,Sturt,1,Good,Acceptable,0
494,No usual address (SA),494,No usual address (SA),1,Good,Acceptable,0
497,Migratory - Offshore - Shipping (SA),497,Migratory - Offshore - Shipping (SA),1,Good,Acceptable,0
501,Brand,501,Brand,0.8654641,Acceptable,Acceptable,0
501,Brand,504,Canning,0.1345359,Poor,Acceptable,0
502,Burt,502,Bullwinkel,0.0567879,Poor,Acceptable,0
502,Burt,503,Burt,0.8629424,Acceptable,Acceptable,0
502,Burt,515,Swan,0.0802697,Poor,Acceptable,0
503,Canning,502,Bullwinkel,0.0911657,Poor,Acceptable,0
503,Canning,503,Burt,0.1220012,Acceptable,Acceptable,0
503,Canning,504,Canning,0.7868331,Poor,Acceptable,0
504,Cowan,505,Cowan,0.7655544,Poor,Acceptable,0
504,Cowan,510,Hasluck,0.1998234,Poor,Acceptable,0
504,Cowan,511,Moore,1e-07,Acceptable,Acceptable,1
504,Cowan,514,Perth,0.0346222,Acceptable,Acceptable,0
505,Curtin,506,Curtin,0.9487539,Good,Acceptable,0
505,Curtin,511,Moore,0.0512461,Acceptable,Acceptable,0
506,Durack,502,Bullwinkel,0.0988178,Poor,Acceptable,0
506,Durack,507,Durack,0.9011822,Acceptable,Acceptable,0
507,Forrest,508,Forrest,0.9608913,Good,Acceptable,0
507,Forrest,512,O'Connor,0.0391087,Good,Acceptable,0
508,Fremantle,509,Fremantle,0.9439906,Good,Acceptable,0
508,Fremantle,516,Tangney,0.0560094,Acceptable,Acceptable,0
509,Hasluck,502,Bullwinkel,0.4276788,Poor,Acceptable,0
509,Hasluck,510,Hasluck,0.5723212,Poor,Acceptable,0
510,Moore,511,Moore,0.9325889,Acceptable,Acceptable,0
510,Moore,513,Pearce,0.0674111,Acceptable,Acceptable,0
511,O'Connor,502,Bullwinkel,0.0096378,Poor,Acceptable,1
511,O'Connor,507,Durack,0.0494074,Acceptable,Acceptable,0
511,O'Connor,512,O'Connor,0.9409548,Good,Acceptable,0
512,Pearce,505,Cowan,0.1671031,Poor,Acceptable,0
512,Pearce,513,Pearce,0.8328969,Acceptable,Acceptable,0
513,Perth,510,Hasluck,0.108528,Poor,Acceptable,0
513,Perth,514,Perth,0.891472,Acceptable,Acceptable,0
514,Swan,502,Bullwinkel,0.1919698,Poor,Acceptable,0
514,Swan,515,Swan,0.8080302,Poor,Acceptable,0
515,Tangney,515,Swan,0.0795468,Poor,Acceptable,0
515,Tangney,516,Tangney,0.9204532,Acceptable,Acceptable,0
594,No usual address (WA),594,No usual address (WA),1,Good,Acceptable,0
597,Migratory - Offshore - Shipping (WA),597,Migratory - Offshore - Shipping (WA),1,Good,Acceptable,0
601,Bass,601,Bass,1,Good,Acceptable,0
602,Braddon,602,Braddon,1,Good,Acceptable,0
603,Clark,603,Clark,1,Good,Acceptable,0
604,Franklin,604,Franklin,1,Good,Acceptable,0
605,Lyons,605,Lyons,1,Good,Acceptable,0
694,No usual address (Tas.),694,No usual address (Tas.),1,Good,Acceptable,0
697,Migratory - Offshore - Shipping (Tas.),697,Migratory - Offshore - Shipping (Tas.),1,Good,Acceptable,0
701,Lingiari,701,Lingiari,1,Good,Acceptable,0
702,Solomon,702,Solomon,1,Good,Acceptable,0
794,No usual address (NT),794,No usual address (NT),1,Good,Acceptable,0
797,Migratory - Offshore - Shipping (NT),797,Migratory - Offshore - Shipping (NT),1,Good,Acceptable,0
801,Bean,801,Bean,1,Good,Acceptable,0
802,Canberra,802,Canberra,1,Good,Acceptable,0
803,Fenner,803,Fenner,1,Good,Acceptable,0
894,No usual address (ACT),894,No usual address (ACT),1,Good,Acceptable,0
897,Migratory - Offshore - Shipping (ACT),897,Migratory - Offshore - Shipping (ACT),1,Good,Acceptable,0
994,No usual address (OT),994,No usual address (OT),1,Good,Acceptable,0
997,Migratory - Offshore - Shipping (OT),997,Migratory - Offshore - Shipping (OT),1,Good,Acceptable,0
ZZZ,Outside Australia,ZZZ,Outside Australia,1,Good,Acceptable,0
